NOME DO PRODUTO;REFERENCIA_QUANTIDADE DE FOTOS DESSA REFERENCIA;DETALHES;VALOR;DETALHE 2; 
L-CARRSY;00SGPK0AAYG-5IL_2;WORKEA-RR - NEON LIGHTS;R$ 3.995,00;; 
CATEGORIA;BONES_MALE;DETALHE 1;#N/D;; 
COMIXI;00SHI00NAUI-900_2;WORKEA-RR - INSTITUTIONAL LOGO;R$ 325,00;; 
COTIGRE;00SI7Q0QAZC-129_3;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 395,00;; 
COTIGRE;00SI7Q0QAZC-900_3;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 395,00;; 
C-7ELE;00SI7R0CAXJ-3AY_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 275,00;; 
C-7ELE;00SI7R0CAXJ-5IL_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 275,00;; 
C-7ELE;00SI7R0CAXJ-8II_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 275,00;; 
C-7ELE;00SI7R0CAXJ-9XX;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 275,00;; 
CEDOUBLE;00SI8L0JAWM-129_2;WORKEA-RR - SEASONAL LOGO;R$ 395,00;; 
CEDOUBLE;00SI8L0JAWM-900_3;WORKEA-RR - SEASONAL LOGO;R$ 395,00;; 
CALBRE;00SI8Q0NAYJ-129;WORKEA-RR - INSTITUTIONAL LOGO;R$ 325,00;; 
CALBRE;00SI8Q0NAYJ-9XX_3;WORKEA-RR - INSTITUTIONAL LOGO;R$ 325,00;; 
CIRIDE-M;00SJ6P0JAPG-100_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 325,00;; 
CIRIDE-M;00SJ6P0JAPG-900_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 325,00;; 
CIRIDE-M;00SJ6P0JAPG-900B_2;WORKEA-RR - NEON LIGHTS INSTITUTIONAL LOGO;R$ 325,00;; 
CATEGORIA;PROPS_MALE;DETALHE 1;#N/D;; 
CATEGORIA;FOOTWEAR_MALE;DETALHE 1;#N/D;; 
H-PADOLA LOW SOCK;Y02129P3148-T8013_1;WORKEA-RR COLOR CODE;R$ 1.195,00;; 
S-ASTICO LOW LACE;Y01873P0465-H1532_1;WORKEA-RR COLOR CODE;R$ 595,00;; 
S-ASTICO LOW LACE;Y01873PR013-T8013_1;WORKEA-RR COLOR CODE;R$ 655,00;; 
S-ASTICO LOW ZIP SP;Y02127P3128-T1015_2;DENIM HERITAGE;R$ 955,00;; 
S-BRENTHA FLOW;Y02111P3142-H7951_1;WORKEA-RR COLOR CODE;R$ 1.095,00;; 
S-BRENTHA FLOW;Y02111P3143-H7952_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-BRENTHA FLOW;Y02111P3143-H7954_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-BULLY LC;Y02134P1331-H7940_1;WORKEA-RR COLOR CODE;R$ 595,00;; 
S-BULLY LC;Y02134P1331-H7943_1;WORKEA-RR COLOR CODE;R$ 595,00;; 
S-CLEVER LS;Y01983P3144-H1408_1;WORKEA-RR HERITAGE LEATHER;R$ 895,00;; 
S-DESE MG LOW;Y02109P2462-H7947_1;WORKEA-RR HERITAGE LEATHER;R$ 855,00;; 
S-DVELOWS LOW;Y02126P3009-H7949_1;WORKEA-RR COLOR CODE;R$ 855,00;; 
S-KB ATHL LACE;Y02110P2215-H7982_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-KB ATHL LACE;Y02110P2215-H7983_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-KB LOW LACE II;Y01998P3152-H7044_1;WORKEA-RR COLOR CODE;R$ 755,00;; 
S-KB LOW LACE II;Y01998P3152-H7473_1;WORKEA-RR COLOR CODE;R$ 755,00;; 
S-RUA LOW90;Y02118P0823-H7944_1;WORKEA-RR COLOR CODE;R$ 995,00;; 
S-RUA SL LOW;Y02156P3161-H7976_2;WORKEA-RR COLOR CODE;R$ 1.195,00;; 
S-SERENDIPITY LOW;Y02159P3163-H7827_2;WORKEA-RR COLOR CODE;R$ 795,00;; 
S-SERENDIPITY LOW;Y02159P3163-H7999_1;WORKEA-RR COLOR CODE;R$ 795,00;; 
S-SERENDIPITY LOW;Y02159P3163-T8013_1;WORKEA-RR COLOR CODE;R$ 795,00;; 
S-SK SLG;Y02106P3021-T4338_1;WORKEA-RR COLOR CODE;R$ 695,00;; 
S-SK SLG;Y02106P3021-T4339_1;WORKEA-RR COLOR CODE;R$ 695,00;; 
S-SK SOE;Y02065P3156-T1015_2;WORKEA-RR COLOR CODE;R$ 655,00;; 
S-SK SOE;Y02065P3156-T6062_1;WORKEA-RR COLOR CODE;R$ 655,00;; 
S-SK SOE;Y02065P3156-T8013_1;WORKEA-RR COLOR CODE;R$ 655,00;; 
F-URBHANITY CROSS;X05894P1516-T8013_1;WORKEA-RR;R$ 495,00;; 
F-BOLD DUFFLE;X05477P1705-T6065_2;WORKEA-RR BOLD MESSAGE;R$ 1.195,00;; 
F-BOLD DUFFLE;X05477P1705-T8013_2;WORKEA-RR BOLD MESSAGE;R$ 1.195,00;; 
F-BOLD DUFFLE;X05477P3188-T3111_2;WORKEA-RR BOLD MESSAGE;R$ 1.195,00;; 
MIRANO;X06264PR230-T6065_1;WORKEA-RR ;R$ 525,00;; 
MIRANO;X06264PR230-T8013_1;WORKEA-RR COPIRY;R$ 525,00;; 
BOLD BACK II;X06330P1705-T6065_1;WORKEA-RR BOLD MESSAGE;R$ 795,00;; 
BOLD BACK II;X06330P1705-T8013_1;WORKEA-RR BOLD MESSAGE;R$ 795,00;; 
BOLD BACK II;X06330P3188-T3111_1;WORKEA-RR BOLD MESSAGE;R$ 795,00;; 
F-SUSE BELT;X06090P2249-H5067_3;WORKEA-RR LOGO EXECUTION;R$ 455,00;; 
FAROH;X06820P3196-H8013_2;WORKEA-RR LOGO EXECUTION;R$ 895,00;; 
CATEGORIA;SMALL ACCESSORIES_MALE;DETALHE 1;#N/D;; 
JOHNAS II;X06628P0396-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
JOHNAS II;X06750PR013-T2263_1;WORKEA-RR HERITAGE LEATHER;R$ 295,00;; 
JOHNAS II;X06750PR013-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 295,00;; 
JOHNAS I;X06731P3175-T1003_1;UNI;R$ 495,00;; 
JOHNAS II;X06740P0408-H1532_1;WORKEA-RR COPIRY;R$ 395,00;; 
NEELA XS;X06749PR013-T2263_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
NEELA XS;X06749PR013-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
B-LINE;X03737PR080-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 425,00;; 
B-COPIRY;X06696PR400-T8013_1;WORKEA-RR COPIRY;R$ 325,00;; 
B-LIZZY;X06700PR227-T2184_1;WORKEA-RR LOGO EXECUTION;R$ 255,00;; 
B-LIZZY;X06700PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 255,00;; 
B-PEIPER;X06702PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 275,00;; 
B-TROGO;X06704PR227-T7432_1;WORKEA-RR LOGO EXECUTION;R$ 275,00;; 
B-TROGO;X06704PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 275,00;; 
B-TRED;X06705PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 275,00;; 
B-FORT;X06706PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 295,00;; 
B-ZIGRA;X06712PR505-T6053_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
B-ZIGRA;X06712PR505-T8009_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
B-DERUB;X06714PR080-T8013_1;VISUAL EYES - LOGO EXECUTION;R$ 455,00;; 
B-DACO;X06715PR080-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
B-STUDEND;X06716P0762-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 955,00;; 
B-GIO II;X06723P0752-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 1.695,00;; 
POUCHUR;X06630P0396-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 795,00;; 
ASANTY BRACELET;X03739PR250-H0470_1;WORKEA-RR HERITAGE LEATHER;R$ 255,00;; 
ALUCY BRACELET 2;X04786PR250-H0470_2;WORKEA-RR HERITAGE LEATHER;R$ 255,00;; 
A-LOTHER;X06679PR227-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 155,00;; 
A-PIASTRY;X06685PS890-H5809_1;WORKEA-RR HERITAGE LEATHER;R$ 295,00;; 
A-GIO II;X06687P0752-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 495,00;; 
CATEGORIA;INTIMATES_MALE;DETALHE 1;#N/D;; 
CATEGORIA;UNDERWEAR_MALE;DETALHE 1;#N/D;; 
SKM-RAY-TREEPACK;00SAYJ0BAWX-E3843_1;WORKEA-RR ESSENTIAL;R$ 125,00;; 
UMBX-DAMIEN;00CIYK0BAYX-E0010_2;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 155,00;; 
UMBX-DAMIEN;00CIYK0BAYX-E5084_2;WORKEA-RR - INSTITUTIONAL LOGO;R$ 155,00;; 
UMBX-DAMIEN;00CIYK0SAWG-8AT_2;WORKEA-RR - INSTITUTIONAL LOGO;R$ 155,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0HAXX-E5086_1;WORKEA-RR - INSTITUTIONAL LOGO;R$ 275,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0HAXX-E5088_1;WORKEA-RR - INSTITUTIONAL LOGO;R$ 275,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0JAWQ-E4024_3;WORKEA-RR - INSTITUTIONAL LOGO;R$ 275,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0JAWQ-E5033_3;WORKEA-RR - INSTITUTIONAL LOGO;R$ 275,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0SAYF-E4869_1;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 275,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0SAYF-E4898_1;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 275,00;; 
CATEGORIA;BEACHWEAR_MALE;DETALHE 1;#N/D;; 
BMOWT-HARPOON;00SA1Z0AAXV-5HQ_2;WORKEA-RR ARMY OF ME ;R$ 755,00;; 
BMOWT-HARPOON;00SA1Z0AAXV-8AT_2;WORKEA-RR ARMY OF ME ;R$ 755,00;; 
BMOWT-WINDY-FG;00SJRU0EAXX-900_4;WORKEA-RR - INSTITUTIONAL LOGO;R$ 495,00;; 
BMOWT-LOCO;00SFM30DAYD-100_3;WORKEA-RR - INSTITUTIONAL LOGO;R$ 225,00;; 
BMOWT-LOCO;00SFM30DAYD-900_1;WORKEA-RR - INSTITUTIONAL LOGO;R$ 225,00;; 
BMBX-DOLPHIN-S 2.017;00S96I0TAXR-89D_1;WORKEA-RR - INSTITUTIONAL LOGO;R$ 395,00;; 
BMBX-DOLPHIN-S 2.017;00S96I0TAXR-8CP_1;WORKEA-RR - INSTITUTIONAL LOGO;R$ 395,00;; 
BMBX-DOLPHIN-S 2.017;00S96I0TAXR-900_1;WORKEA-RR - INSTITUTIONAL LOGO;R$ 395,00;; 
BMOWT-DORSAL;00SA200AAXV-5HQ_1;WORKEA-RR ARMY OF ME ;R$ 395,00;; 
BMOWT-DORSAL;00SA200AAXV-8AT_3;WORKEA-RR ARMY OF ME ;R$ 395,00;; 
BMBX-TUNA;00SHFM0JAWP-5AT_3;WORKEA-RR ARMY OF ME ;R$ 395,00;; 
BMBX-TUNA;00SHFM0JAWP-900_3;WORKEA-RR ARMY OF ME ;R$ 395,00;; 
BMBX-WAVE 2.017;00SV9U0EAXX-388_4;WORKEA-RR - INSTITUTIONAL LOGO;R$ 355,00;; 
BMBX-WAVE 2.017;00SV9U0EAXX-88T_4;WORKEA-RR - INSTITUTIONAL LOGO;R$ 355,00;; 
BMBX-WAVE 2.017;00SV9U0EAXX-900_4;WORKEA-RR - INSTITUTIONAL LOGO;R$ 355,00;; 
BMBX-WAVE 2.017;00SV9U0HAXN-41X_2;VISUAL EYES OPTICAL ILLUSION - SEASONAL GRAPHICS;R$ 395,00;; 
BMBX-WAVE 2.017;00SV9U0HAXN-8HE_3;VISUAL EYES OPTICAL ILLUSION - SEASONAL GRAPHICS;R$ 395,00;; 
BMBX-WAVE 2.017;00SV9U0KAXH-41X_2;WORKEA-RR NEON LIGHTS - INSTITUTIONAL LOGO;R$ 395,00;; 
BMBX-WAVE 2.017;00SV9U0KAXH-89V_2;WORKEA-RR NEON LIGHTS - INSTITUTIONAL LOGO;R$ 395,00;; 
BMBX-WAVE 2.017;00SV9U0KAXH-900_2;WORKEA-RR NEON LIGHTS - INSTITUTIONAL LOGO;R$ 395,00;; 
BMBX-WAVE 2.017;00SV9U0TAXQ-21I_3;WORKEA-RR NEON LIGHTS - INSTITUTIONAL LOGO;R$ 325,00;; 
BMBX-WAVE 2.017;00SV9U0TAXQ-8HE_3;WORKEA-RR NEON LIGHTS - INSTITUTIONAL LOGO;R$ 325,00;; 
BMBX-WAVE 2.017;00SV9U0TAXQ-900_3;WORKEA-RR NEON LIGHTS - INSTITUTIONAL LOGO;R$ 325,00;; 
BMBX-WAVE 2.017;00SV9U0TAYL-900_2;WORKEA-RR ARMY OF ME - SEASONAL GRAPHICS;R$ 355,00; ; 
BMT-HELLERI;00CG4K0DAZP-900_1;WORKEA-RR - INSTITUTIONAL LOGO;R$ 395,00; ; 
CATEGORIA;FEMALE_ ;;; ; 
CATEGORIA;5-POCKETS_FEMALE;;; ; 
CATEGORIA;JOGGJEANS_FEMALE;;; ; 
D-OLLIES-NE;00SWC3069MC-01_4;COLOUR CODE;R$ 1.395,00;LIOCEL; 
D-FAYZA-NE;00SYIP069KD-01_4;;R$ 1.595,00;; 
D-FAYZA-NE;00SYIP069MD-01_4;COLOUR CODE;R$ 1.495,00;LIOCEL; 
D-FAYZA-NE;00SYIP069MR-900_3;HERITAGE - PART CLUBBING;R$ 1.495,00;; 
D-FAYZA-T;00SHKV0099Q-01_4;;R$ 1.595,00;; 
KRAILEY R-NE;00S8SK069KM-01_5;COLOUR CODE;R$ 1.295,00;LIOCEL; 
KRAILEY-B-T;00SK690099R-01_3;;R$ 1.295,00;; 
CATEGORIA;DENIM_FEMALE;;;; 
D-ROISIN L.32;00STRN0094X-01_3;HERITAGE - BACK TO BASIC;R$ 695,00;; 
SLANDY L.32;00SXJN0095B-01_3;HERITAGE - BACK TO BASIC;R$ 855,00;; 
SLANDY L.32;00SXJN009CJ-01_5;HERITAGE - BACK TO BASIC;R$ 995,00;; 
SLANDY L.32;00SXJN069JP-01_3;HERITAGE - BACK TO BASIC;R$ 795,00;; 
SLANDY-SP6 L.32;00SHK7009AV-01_4;HERITAGE - PART CLUBBING;R$ 1.595,00;; 
D-SLANDY-HIGH L.32;00SEWL009AG-01_4;HERITAGE - BACK TO BASIC;R$ 895,00;; 
BABHILA L.32 ;00S7LY009AC-01_4;HERITAGE - BACK TO BASIC;R$ 955,00;; 
BABHILA L.32 ;00S7LY069JQ-01_3;HERITAGE - BACK TO BASIC;R$ 895,00;; 
BABHILA-B L.32;00SLKH009AA-01_3;HERITAGE - RENOVATE NEWNESS;R$ 1.095,00;; 
BABHILA-HIGH-ZSP L.32;00S5PC009AX-01_4;HERITAGE - RENOVATE NEWNESS;R$ 1.695,00;; 
DE-RIFTY L.32;00SMN00099M-01_4;HERITAGE - BACK TO BASIC;R$ 995,00;; 
D-EBBEY-K .32;00SZUA009AA-01_5;HERITAGE - RENOVATE NEWNESS;R$ 995,00;; 
D-EBBEY-X L.32;00SAQX0099M-01_2;HERITAGE - BACK TO BASIC;R$ 995,00;; 
D-EISELLE L.32;00SMNI0096X-01_5;HERITAGE - BACK TO BASIC;R$ 955,00;; 
D-FAYZA L.32;00SV1Z0099M-01_4;HERITAGE - BACK TO BASIC;R$ 995,00;; 
D-FAYZA L.32;00SV1Z009BX-76P_4;COLOUR CODE;R$ 895,00;; 
D-FAYZA L.32;00SV1Z009BY-01_5;COLOUR CODE;R$ 1.155,00;LIOCEL; 
D-IZZIER-SP1 L.32;00SHJE0KAXA-02_2;;R$ 1.195,00;; 
CATEGORIA;COLLECTION_FEMALE;;;; 
CATEGORIA;CAMISETAS_FEMALE;;;; 
T-MULLER;00SEI60KIKA-3AX_2;WORKEA-RR - CLEAN;R$ 525,00;; 
T-MULLER;00SEI60KIKA-9XX_3;WORKEA-RR - CLEAN;R$ 525,00;; 
T-OAK-S1;00SEL00HERA-100_2;VISUAL EYES - OPTICAL ILLUSION;R$ 295,00;; 
T-OAK-S1;00SEL00HERA-3AX_2;VISUAL EYES - OPTICAL ILLUSION;R$ 295,00;; 
T-OAK-S1;00SEL00HERA-9XX_1;VISUAL EYES - OPTICAL ILLUSION;R$ 295,00;; 
T-LESLEE-A;00SELD0DAWM-100_2;WORKEA-RR - CLEAN;R$ 455,00;; 
T-LESLEE-A;00SELD0DAWM-900_2;WORKEA-RR - CLEAN;R$ 455,00;; 
T-KELLY-B;00SELJ0DAWM-100_2;WORKEA-RR - CLEAN;R$ 455,00;; 
T-KELLY-B;00SELJ0DAWM-900_2;WORKEA-RR - CLEAN;R$ 455,00;; 
T-SALEM;00SEI70KIKA-3AX_2;WORKEA-RR - CLEAN;R$ 525,00;; 
T-SALEM;00SEI70KIKA-9XX_2;WORKEA-RR - CLEAN;R$ 525,00;; 
T-SETH;00SEIB0CAYU-9XX_2;VISUAL EYES - SUPER VISION;R$ 895,00;; 
T-SILY-S1;00SELF0QANW-100_2;WORKEA-RR - SEASONAL GRAPHICS;R$ 395,00;; 
T-SILY-S1;00SELF0QANW-9XX_2;WORKEA-RR - SEASONAL GRAPHICS;R$ 395,00;; 
T-SILY-S2;00SEMA0BASU-100_2;WORKEA-RR - SEASONAL LOGO;R$ 295,00;; 
T-SILY-S2;00SEMA0BASU-900_2;WORKEA-RR - SEASONAL LOGO;R$ 295,00;; 
T-SILY-S6;00SEMF0HERA-100_2;VISUAL EYES - OPTICAL ILLUSION;R$ 295,00;; 
T-SILY-S6;00SEMF0HERA-9XX_1;VISUAL EYES - OPTICAL ILLUSION;R$ 295,00;; 
T-SILY-S7;00SFMD0CATJ-100_3;WORKEA-RR - SEASONAL LOGO;R$ 225,00;; 
T-SILY-S7;00SFMD0CATJ-3AX_1;WORKEA-RR - SEASONAL LOGO;R$ 225,00;; 
T-SILY-S7;00SFMD0CATJ-900_2;WORKEA-RR - SEASONAL LOGO;R$ 225,00;; 
CATEGORIA;TOPS_FEMALE;;;; 
T-TOPEL;00SEM90HAXP-100_3;WORKEA-RR SECOND LIFE;R$ 695,00;; 
T-TOPEL;00SEM90HAXP-9XX_2;WORKEA-RR SECOND LIFE;R$ 695,00;; 
T-KAENA;00SEMB0LAWI-100_2;WORKEA-RR - CLEAN;R$ 625,00;; 
T-KAENA;00SEMB0LAWI-9XX_2;WORKEA-RR - CLEAN;R$ 625,00;; 
CATEGORIA;CAMISAS_FEMALE;;;; 
C-SUNNY;00S7XA0KAWV-100_3;VISUAL EYES - OPTICAL ILLUSION;R$ 695,00;ALGODÃO; 
C-CUPERIOR;00SD960IAXB-100A_2;WORKEA-RR SECOND LIFE;R$ 995,00;VISCOSE; 
C-CUPERIOR;00SD960IAXB-9XXA_2;WORKEA-RR SECOND LIFE;R$ 995,00;VISCOSE; 
C-RAILY-ROUCHE;00SFWT0LAXH-3AK_2;WORKEA-RR NEON LIGHTS;R$ 895,00;VISCOSE; 
C-RAILY-ROUCHE;00SFWT0LAXH-9XX_2;WORKEA-RR NEON LIGHTS;R$ 895,00;VISCOSE; 
C-FRY;00SIK60HAXE-9XXA_6;VISUAL EYES DIVINE COMEDY;R$ 655,00;LIOCEL; 
CATEGORIA;MALHAS E MOLETONS_FEMALE;;;; 
F-ANG-S3;00SEM20IAJH-100_2;WORKEA-RR - SEASONAL LOGO;R$ 555,00;; 
F-ANG-S3;00SEM20IAJH-900_2;WORKEA-RR - SEASONAL LOGO;R$ 555,00;; 
M-COPI;00SH8Q0SAUC-9XX_2;WORKEA-RR - SEASONAL LOGO;R$ 895,00;; 
M-OCIAME;00S4DP0CAYS-3AX_2;VISUAL EYES - OPTICAL ILLUSION;R$ 1.195,00;; 
M-OCIAME;00S4DP0CAYS-9XX_2;VISUAL EYES - SUPER VISION;R$ 1.195,00;; 
M-PERLA-A;00SH8Y0TAZG-129_3;WORKEA-RR - CLEAN;R$ 755,00;; 
M-PERLA-A;00SH8Y0TAZG-3AX_2;WORKEA-RR - CLEAN;R$ 755,00;; 
M-PERLA-A;_200SH8Y0TAZG-9XX;WORKEA-RR - CLEAN;;; 
CATEGORIA;JAQUETAS_FEMALE;;;; 
G-MESHELLE;00SEYA0AAYP-9XX_4;WORKEA-RR - SEASONAL LOGO;R$ 1.395,00;; 
G-TAKY-A;00SEYR0EAYI-3AX_2;VISUAL EYES - OPTICAL ILLUSION;R$ 1.995,00;; 
CATEGORIA;COURO_FEMALE;;;; 
L-WELLS;00SF0H0SAZH-9XX_2;WORKEA-RR HERITAGE LEATHER;R$ 2.995,00;COURO OVINO (OVELHA); 
L-TAHALI;00SF0P0WAWM-7DA_2;WORKEA-RR HERITAGE LEATHER;R$ 3.595,00;COURO OVINO (CABRA); 
L-ZACHERY;00SF060IAXC-9XX_1;WORKEA-RR HERITAGE LEATHER;R$ 1.795,00;COURO OVINO (OVELHA); 
CATEGORIA;SHORTS_FEMALE;COLOUR CODE;;; 
DE-REG;00SFN70079E-01_1;WORKEA-RR - GOOD JEANS;R$ 755,00;; 
DE-RIFTY;00SQQ30BAYA-01_2;WORKEA-RR - GOOD JEANS;R$ 755,00;; 
DE-EISELLE;00SQQ5009CK-101_1;WORKEA-RR - GOOD JEANS;R$ 795,00;; 
CATEGORIA;SAIAS_FEMALE;;;; 
O-BURNETT;00SEZR0CAYI-9XX_1;;R$ 995,00;; 
M-SLAND;00SH8U0TAUA-9XX_2;WORKEA-RR - ARMY OF ME;R$ 595,00;; 
O-MAYA-B;00SK550HAXE-9XXA_3;VISUAL EYES - DIVINE COMEDY;R$ 995,00;; 
CATEGORIA;CALÇAS E MACAÇÕES_FEMALE;;;; 
P-TOLL-FL;00SF6P0HAXE-9XXA_1;VISUAL EYES - DIVINE COMEDY;R$ 995,00;; 
P-GLASSY;00SF7T0JASB-9XX_2;WORKEA-RR - ARMY OF ME;R$ 895,00;; 
DE-DIXY;00SFUF0BAYC-01_3;WORKEA-RR - ARMY OF ME;R$ 1.195,00;; 
CATEGORIA;PROPS_FEMALE;;;; 
CATEGORIA;FOOTWEAR_FEMALE;;;; 
D-SLANTY HPDT;Y01900P3080-H6959_1;WORKEA-RR - SEASONAL GRAPHICS;R$ 1.255,00;; 
S-CLEVER LOW W;Y01752P1729-H7938_1;WORKEA-RR  COLOUR CODE;R$ 655,00;; 
S-KB ATHL LACE W ;Y01999P2215-H7974_1;WORKEA-RR  COLOUR CODE;R$ 955,00;; 
S-KB SOE W ;Y02064P3156-T1015_1;WORKEA-RR  COLOUR CODE;R$ 655,00;; 
S-KB SOE W ;Y02064P3156-T8013_2;WORKEA-RR  COLOUR CODE;R$ 655,00;; 
H-PADOLA LOW SOCK W;Y02130P3148-T8013_1;WORKEA-RR  COLOUR CODE;R$ 1.095,00;; 
S-SERENDIPITY LOW W;Y02160P3163-H7827_1;WORKEA-RR  COLOUR CODE;R$ 795,00;; 
CATEGORIA;BAGS_FEMALE;;;; 
ROSA;X06258PR030-T8013_2;WORKEA-RR HERITAGE LEATHER;R$ 995,00;; 
BELTPAK;X06282P3195-T8013_2;WORKEA-RR  COLOUR CODE;R$ 355,00;; 
SAKETTONE;X06804P3184-T8013_2;WORKEA-RR  INSTITUTIONAL LOGO;R$ 555,00;; 
SHOPAK;X06283P3195-T8013_2;WORKEA-RR  COLOUR CODE;R$ 455,00;; 
OSERMA;X06778PR027-T4007_1;WORKEA-RR  COLOUR CODE;R$ 1.355,00;; 
MIRANO FL;X06813PR390-H3645_1;WORKEA-RR - SEASONAL GRAPHICS;R$ 655,00;; 
SPYNEA;X06583PR030-T8013_3;WORKEA-RR HERITAGE DENIM MASTERY;R$ 1.995,00;; 
CATEGORIA;SMALL ACCESSORIES_FEMALE;;;; 
B-BYE BELT;X05506P0752-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 355,00;; 
B-WANNA BELT;X05714P0762-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 355,00;; 
B-LOWGO BELT;X06581PR227-T1003_1;WORKEA-RR INSTITUTIONAL LOGO;R$ 275,00;; 
B-LOWGO BELT;X06581PR227-T8013_1;WORKEA-RR INSTITUTIONAL LOGO;R$ 275,00;; 
B-STUDALL BELT;X06669P0762-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 795,00;; 
B-DOWRA BELT;X06673PS681-T3146_1;WORKEA-RR  COLOUR CODE;R$ 495,00;; 
B-DUCOPY BELT;X06719PR400-T8013_1;WORKEA-RR INSTITUTIONAL LOGO;R$ 275,00;; 
B-RINGNEW BELT;X06722PR047-T2084_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
B-RINGNEW BELT;X06722PR047-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
CASEPASS;X06595P1743-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 495,00;; 
HI-SOKAA;X05640P1705-T8013_1;WORKEA-RR BOLD MESSAGE;R$ 395,00;; 
